"Sample","AvgDistance","Type"
"TCGA-66-2771-01A-01R-0980-07",0.0500207174578305,"TP"
"TCGA-66-2790-01A-01R-0980-07",0.0500086988238625,"TP"
"TCGA-43-2578-01A-01R-0851-07",0.0499949252709709,"TP"
"TCGA-98-A53H-01A-12R-A262-07",0.0499404200667647,"TP"
"TCGA-63-A5MM-01A-11R-A26W-07",0.0499118779880419,"TP"
"TCGA-56-1622-01A-01R-0692-07",0.0498936740345957,"TP"
"TCGA-56-8624-01A-11R-2403-07",0.0498632528000941,"TP"
"TCGA-79-5596-01A-31R-1949-07",0.0498538861688293,"TP"
"TCGA-63-A5MR-01A-31R-A27Q-07",0.0498376133670363,"TP"
"TCGA-39-5028-01A-01R-1443-07",0.0497736663427035,"TP"
"TCGA-60-2708-01A-01R-0851-07",0.0497500185514082,"TP"
"TCGA-85-A4CL-01A-41R-A26W-07",0.0497421021847112,"TP"
"TCGA-68-7755-01A-11R-2125-07",0.0497321307957891,"TP"
"TCGA-22-4596-01A-01R-1201-07",0.0496937252355325,"TP"
"TCGA-98-8020-01A-11R-2247-07",0.0496587850485437,"TP"
"TCGA-63-A5MS-01A-11R-A26W-07",0.0496273276966257,"TP"
"TCGA-98-A53I-01A-31R-A262-07",0.0496077468693283,"TP"
"TCGA-NC-A5HJ-01A-11R-A26W-07",0.0495987898196985,"TP"
"TCGA-33-AAS8-01A-11R-A405-07",0.0494628917498368,"TP"
"TCGA-96-7544-01A-11R-2045-07",0.049462337432696,"TP"
"TCGA-66-2766-01A-01R-0851-07",0.0493938681346709,"TP"
"TCGA-18-4721-01A-01R-1443-07",0.0493585542123265,"TP"
"TCGA-68-A59I-01A-11R-A262-07",0.0493086167558137,"TP"
"TCGA-37-3789-01A-01R-0980-07",0.0492629713887856,"TP"
"TCGA-77-A5GB-01B-11R-A27Q-07",0.0491625741113125,"TP"
"TCGA-18-5592-01A-01R-1635-07",0.0491421790130733,"TP"
"TCGA-66-2757-01A-01R-0851-07",0.0490787083484118,"TP"
"TCGA-21-5784-01A-01R-1635-07",0.0490771975707961,"TP"
"TCGA-43-A475-01A-11R-A24H-07",0.0490730156220335,"TP"
"TCGA-56-7822-01A-11R-2125-07",0.0490023046562108,"TP"
"TCGA-63-A5ML-01A-31R-A27Q-07",0.0489633938581584,"TP"
"TCGA-96-A4JK-01A-11R-A24Z-07",0.0489541094703255,"TP"
"TCGA-77-7335-01A-11R-2045-07",0.048937237708058,"TP"
"TCGA-77-8150-01A-11R-2247-07",0.0489115545024346,"TP"
"TCGA-22-1012-01A-01R-0692-07",0.0488866853895196,"TP"
"TCGA-56-8309-01A-11R-2296-07",0.0488179568752387,"TP"
"TCGA-56-8629-01A-11R-2403-07",0.0488034099403351,"TP"
"TCGA-94-7943-01A-11R-2187-07",0.0487541679583625,"TP"
"TCGA-63-A5M9-01A-11R-A26W-07",0.0487055778406088,"TP"
"TCGA-85-A4JC-01A-11R-A24Z-07",0.0486616675284306,"TP"
"TCGA-22-5477-01A-01R-1635-07",0.0486291054991586,"TP"
"TCGA-22-5478-01A-01R-1635-07",0.0485974282208777,"TP"
"TCGA-58-8392-01A-11R-2326-07",0.0485891871973994,"TP"
"TCGA-43-6647-01A-11R-1820-07",0.048543641021524,"TP"
"TCGA-56-7580-01A-11R-2045-07",0.0485416759404083,"TP"
"TCGA-58-8391-01A-11R-2326-07",0.0485203713215246,"TP"
"TCGA-51-4081-01A-01R-1100-07",0.0485141375957598,"TP"
"TCGA-34-8456-01A-21R-2326-07",0.0484949679537943,"TP"
"TCGA-98-7454-01A-11R-2045-07",0.0484517813484168,"TP"
"TCGA-63-A5MJ-01A-11R-A27Q-07",0.0484450262291572,"TP"
"TCGA-56-7222-01A-11R-2045-07",0.0483480156942009,"TP"
"TCGA-63-A5MV-01A-21R-A26W-07",0.0483321841191594,"TP"
"TCGA-33-4586-01A-01R-1443-07",0.0483208160740482,"TP"
"TCGA-21-1080-01A-01R-0692-07",0.0481841455847694,"TP"
"TCGA-98-A538-01A-11R-A262-07",0.0480617816716246,"TP"
"TCGA-21-5786-01A-01R-1635-07",0.0480296077432142,"TP"
"TCGA-63-A5MB-01A-11R-A26W-07",0.048015512090411,"TP"
"TCGA-18-5595-01A-01R-1635-07",0.0480047180841045,"TP"
"TCGA-56-8626-01A-11R-2403-07",0.0479990217795301,"TP"
"TCGA-NC-A5HE-01A-11R-A26W-07",0.0479715883268194,"TP"
"TCGA-56-A5DR-01A-11R-A27Q-07",0.0478734875899728,"TP"
"TCGA-98-8022-01A-11R-2247-07",0.0478102860030633,"TP"
"TCGA-22-5485-01A-01R-1635-07",0.0478042043422304,"TP"
"TCGA-46-3766-01A-01R-0980-07",0.0477389468405144,"TP"
"TCGA-77-7337-01A-21R-2045-07",0.0477172265321356,"TP"
"TCGA-21-1081-01A-01R-0692-07",0.0476967984041168,"TP"
"TCGA-77-A5G6-01A-11R-A27Q-07",0.0476883661957177,"TP"
"TCGA-18-3412-01A-01R-0980-07",0.047666101110264,"TP"
"TCGA-56-A49D-01A-11R-A24H-07",0.0476610871512718,"TP"
"TCGA-94-A5I6-01A-21R-A27Q-07",0.0476393786721912,"TP"
