"Sample","LibrarySize","Type"
"TCGA-98-A53H-01A-12R-A262-07",52156574,"TP"
"TCGA-63-A5MM-01A-11R-A26W-07",52097080,"TP"
"TCGA-22-5479-01A-31R-1949-07",52070213,"TP"
"TCGA-33-4538-01A-01R-1201-07",52065459,"TP"
"TCGA-43-A475-01A-11R-A24H-07",52010827,"TP"
"TCGA-43-3920-01A-01R-0980-07",51941459,"TP"
"TCGA-85-A50M-01A-21R-A262-07",51896533,"TP"
"TCGA-56-5898-01A-11R-1635-07",51578948,"TP"
"TCGA-77-A5G1-01A-11R-A27Q-07",51472202,"TP"
"TCGA-77-7337-11A-01R-2045-07",51449308,"NT"
"TCGA-56-A4ZJ-01A-11R-A262-07",51310486,"TP"
"TCGA-33-4533-01A-01R-1201-07",51291357,"TP"
"TCGA-77-6842-01A-11R-1949-07",51277495,"TP"
"TCGA-68-8251-01A-11R-2296-07",51250424,"TP"
"TCGA-NC-A5HE-01A-11R-A26W-07",51080976,"TP"
"TCGA-85-8288-01A-11R-2296-07",50934994,"TP"
"TCGA-56-A4BY-01A-11R-A24H-07",50864536,"TP"
"TCGA-43-A474-01A-11R-A24H-07",50763956,"TP"
"TCGA-O2-A52V-01A-31R-A262-07",50760146,"TP"
"TCGA-63-A5MW-01A-11R-A26W-07",50685270,"TP"
"TCGA-98-A539-01A-31R-A262-07",50663917,"TP"
"TCGA-33-A5GW-01A-11R-A27Q-07",50572426,"TP"
"TCGA-MF-A522-01A-11R-A262-07",50522262,"TP"
"TCGA-85-A50Z-01A-21R-A262-07",50521383,"TP"
"TCGA-92-8065-01A-11R-2247-07",50440730,"TP"
"TCGA-33-4547-01A-01R-1201-07",50437076,"TP"
"TCGA-56-7730-11A-01R-2125-07",50411818,"NT"
"TCGA-NC-A5HQ-01A-11R-A26W-07",50373214,"TP"
"TCGA-63-5128-01A-01R-1443-07",50149427,"TP"
"TCGA-34-8454-01A-11R-2326-07",50083582,"TP"
"TCGA-37-4135-01A-01R-1100-07",50013770,"TP"
"TCGA-22-1011-01A-01R-0692-07",49857230,"TP"
"TCGA-52-7812-01A-11R-2125-07",49776647,"TP"
"TCGA-22-1002-01A-01R-0692-07",49678684,"TP"
"TCGA-66-2744-01A-01R-0980-07",49631546,"TP"
"TCGA-43-6773-01A-41R-1949-07",49625069,"TP"
"TCGA-66-2773-01A-01R-1201-07",49575137,"TP"
"TCGA-63-A5MN-01A-22R-A27Q-07",49509627,"TP"
"TCGA-58-8392-01A-11R-2326-07",49303856,"TP"
"TCGA-98-A53I-01A-31R-A262-07",49184166,"TP"
"TCGA-NC-A5HI-01A-11R-A26W-07",49111787,"TP"
"TCGA-85-8355-01A-11R-2296-07",49104480,"TP"
"TCGA-LA-A446-01A-21R-A24Z-07",48978801,"TP"
"TCGA-18-3407-01A-01R-0980-07",48956906,"TP"
"TCGA-66-2787-01A-01R-0980-07",48947728,"TP"
"TCGA-33-4589-01A-01R-1443-07",48888654,"TP"
"TCGA-66-2742-01A-01R-0980-07",48885815,"TP"
"TCGA-56-8083-11A-01R-2247-07",48859588,"NT"
"TCGA-85-8479-01A-11R-2326-07",48727549,"TP"
"TCGA-77-A5G3-01A-31R-A27Q-07",48713832,"TP"
"TCGA-O2-A52S-01A-11R-A262-07",48682093,"TP"
"TCGA-98-A53C-01A-11R-A262-07",48590069,"TP"
"TCGA-37-4130-01A-01R-1100-07",48524508,"TP"
"TCGA-21-1071-01A-01R-0692-07",48521204,"TP"
"TCGA-56-A4ZK-01A-11R-A262-07",48497963,"TP"
"TCGA-98-A53D-01A-32R-A262-07",48474218,"TP"
"TCGA-51-4081-01A-01R-1100-07",48420229,"TP"
"TCGA-98-A53B-01A-11R-A262-07",48346874,"TP"
"TCGA-68-A59I-01A-11R-A262-07",48339227,"TP"
"TCGA-NC-A5HG-01A-11R-A26W-07",48269808,"TP"
"TCGA-37-3783-01A-01R-1201-07",48210178,"TP"
"TCGA-58-8393-01A-11R-2326-07",48170362,"TP"
"TCGA-56-8622-01A-11R-2403-07",48150930,"TP"
"TCGA-22-1005-01A-01R-A96U-41",48092019,"TP"
"TCGA-77-8144-01A-11R-2247-07",48083324,"TP"
"TCGA-66-2777-01A-01R-1201-07",48074836,"TP"
"TCGA-63-A5MY-01A-11R-A26W-07",47994636,"TP"
"TCGA-63-A5MR-01A-31R-A27Q-07",47850897,"TP"
"TCGA-60-2726-01A-01R-0851-07",47761635,"TP"
"TCGA-96-A4JL-01A-11R-A24Z-07",47656390,"TP"
"TCGA-85-8277-01A-11R-2296-07",47556456,"TP"
"TCGA-85-A511-01A-21R-A262-07",47364012,"TP"
"TCGA-56-8082-01A-11R-2247-07",47278280,"TP"
"TCGA-60-2725-01A-01R-1201-07",47199774,"TP"
"TCGA-56-8082-11A-01R-2247-07",47158002,"NT"
"TCGA-68-8250-01A-11R-2296-07",47123743,"TP"
"TCGA-77-6843-01A-11R-1949-07",47094205,"TP"
"TCGA-77-7142-11A-01R-2045-07",46968421,"NT"
"TCGA-NK-A5CX-01A-11R-A26W-07",46929381,"TP"
"TCGA-63-7023-01A-11R-1949-07",46855079,"TP"
"TCGA-LA-A7SW-01A-11R-A405-07",46810055,"TP"
"TCGA-56-A5DR-01A-11R-A27Q-07",46773887,"TP"
